"SYSTEM","PARENTID","DEPARTMENT","DESCRIPTION","SYNTURF_Location","System_Type","Turf_Type","Infill_Material","JOP","Maint_By","Maint_By_Spec","Construction_Entity","Construction_Entity_Spec","Contract_Type","Contract_Number","Commission_Date","RETIRED","Borough","Shape","FeatureStatus"
"B297-SYNTURF-0104","B297","B-12","Albemarle Playground","Albemarle Road and McDonald Avenue","Play Area","Non-Infill","Not Applicable","true","DPR","NULL","DPR","NULL","Capital","NULL","11/01/2022","False","B","MULTIPOLYGON (((-73.98072362790128 40.646057590911084, -73.98067954872269 40.64582413504105, -73.9805624188731 40.64583696569501, -73.9806064988326 40.64607042160981, -73.98072362790128 40.646057590911084)))","Active"
"Q102-SYNTURF-0108","Q102","Q-05","Juniper Valley Park","Juniper Boulevard N and Lutheran Ave","Field Group","Infill","Coated Sand","false","DPR","NULL","DPR","NULL","Capital","NULL","11/01/2022","False","Q","MULTIPOLYGON (((-73.8837703842489 40.72028877452768, -73.8837693686211 40.72032209689255, -73.88377279275973 40.72035532648419, -73.88378062293654 40.720388125576676, -73.88379277807661 40.720420158197015, -73.88408688909259 40.72041019155929, -73.88409114480302 40.72038322465497, -73.8841534706613 40.72039291023884, -73.88414703412732 40.72041891410631, -73.8844061502975 40.72052078815061, -73.88443654152206 40.72049599248709, -73.88446196811084 40.720468171521425, -73.88448191067899 40.720437890256356, -73.88449596337594 40.720405766938214, -73.884738516269 40.71954034566891, -73.88474847825577 40.71950479988289, -73.88475672650497 40.71947537225024, -73.88476072862885 40.71944222936279, -73.88475888769187 40.719408976167344, -73.88473790812955 40.719344492116285, -73.88471814496545 40.71930962887298, -73.88469233568452 40.71927711440603, -73.88466095504519 40.7192475489271, -73.8846245808715 40.71922147511804, -73.8845838845896 40.71919937542047, -73.88453961350204 40.71918165580906, -73.88449258487512 40.71916864308449, -73.88444366346629 40.719160576746624, -73.88439375324572 40.719157605384666, -73.88434377018228 40.71915978304751, -73.88429463750677 40.71916707104044, -73.88424725968142 40.71917933429687, -73.88420250818844 40.719196346766765, -73.88416120968765 40.7192177959072, -73.88412412234138 40.719243285359816, -73.8840960322188 40.71926819222294, -73.88407172684056 40.719295290230434, -73.88405150385559 40.7193242500975, -73.88403560650823 40.719354720872126, -73.8837703842489 40.72028877452768)))","Active"
"Q300-SYNTURF-0107","Q300","Q-07","Rachel Carson","Colden Street and Geranium Ave","Field Group","Infill","Uncoated Sand","false","DPR","NULL","DPR","NULL","Capital","NULL","10/01/2022","False","Q","MULTIPOLYGON (((-73.8224248691145 40.74945036481649, -73.82240245314826 40.74946228810046, -73.8224497740634 40.74951485075735, -73.82248540840258 40.749518378038964, -73.82251836076325 40.749521904779066, -73.82257813446455 40.74948885637554, -73.8225689224842 40.74946695804304, -73.82274288117321 40.74936708310102, -73.8227834581675 40.74937094207968, -73.82300619736478 40.74924479201942, -73.8230155511722 40.74919284618573, -73.82265745893785 40.7488236742774, -73.82258672136132 40.74881621179517, -73.82210615908866 40.749089239418524, -73.82209687346635 40.74914598679384, -73.82223316392077 40.74928388938167, -73.82227031747824 40.74928691298936, -73.8224248691145 40.74945036481649)))","Active"
"R025-SYNTURF-0106","R025","R-01","Mahoney Playground","Beechwood Ave and Crescent Ave","Field Group","Infill","Uncoated Sand","false","DPR","NULL","DPR","NULL","Capital","NULL","12/02/2022","False","R","MULTIPOLYGON (((-74.08548260926291 40.643621149493, -74.08559726034079 40.64356924206834, -74.0856752215584 40.643594053635205, -74.08571157068036 40.643605622527105, -74.085750748835 40.64361809071711, -74.08584389187405 40.64361783031611, -74.08588412495745 40.643617718328954, -74.08592528844149 40.64361760293095, -74.08596046678423 40.643608641695444, -74.08603512287308 40.64358865919112, -74.08607427029564 40.64357818117946, -74.08611271452949 40.643567890988905, -74.08615292082753 40.643557129394694, -74.08587614064565 40.64312750356608, -74.0852776978542 40.64335289845542, -74.08548260926291 40.643621149493)))","Active"
"B223JB-SYNTURF-0105","B223JB","B-02","Susan Smith McKinney Steward Park","Jay Street and York Street","Play Area","Non-Infill","Not Applicable","false","DPR","NULL","DPR","NULL","Capital","NULL","08/01/2022","False","B","MULTIPOLYGON (((-73.98619101578113 40.70140212933663, -73.98622051922754 40.70139399584666, -73.98631976170297 40.70121302009255, -73.9863197613485 40.701174384527405, -73.98629562191131 40.70115811750926, -73.98626075316338 40.7011520168863, -73.98586915083489 40.70102594372522, -73.98580745955815 40.70101374320258, -73.98574040452863 40.701030010768164, -73.98570285344069 40.701046278361275, -73.9856813958325 40.70106661285638, -73.98566798527185 40.701093047517276, -73.98566530262325 40.70129232417629, -73.98568675979067 40.70133502642155, -73.98573235728338 40.70136756127564, -73.9857645447519 40.70137976179479, -73.98580477720692 40.70138586232898, -73.98619101578113 40.70140212933663)))","Active"
"M208D-SYNTURF-0102","M208D","M-11","Harlem River Park","E 128th Street and Harlem River Drive","Field Group","Infill","Coated Sand","false","DPR","NULL","DPR","NULL","Capital","NULL","09/01/2022","False","M","MULTIPOLYGON (((-73.93398971760656 40.806724891545656, -73.93401994081967 40.80670533201085, -73.9345676581224 40.80595640511341, -73.93450409246925 40.80589058129338, -73.93372103730061 40.80555446209298, -73.93375480458981 40.80550283790556, -73.93327619031888 40.805298725907754, -73.93311247202953 40.80545265412364, -73.93274882313119 40.805650836813776, -73.93274363473395 40.80569193614575, -73.93278400300653 40.805733838278165, -73.93281160153863 40.80573853425765, -73.93287130110336 40.80580050172793, -73.93284849768953 40.80581318547745, -73.93321704675809 40.80619573414794, -73.93325514834174 40.806182274850215, -73.9332952488404 40.806172703248194, -73.93333665954805 40.806167185533766, -73.93337866694583 40.806165814945054, -73.93342055165826 40.806168616279955, -73.93346159082857 40.806175540494365, -73.93350703266087 40.806222809567934, -73.93398971760656 40.806724891545656)))","Active"
"X350-SYNTURF-0100","X350","X-03","Melrose Commons","E 163rd Street and Melrose Ave","Field Group","Non-Infill","Not Applicable","false","DPR","NULL","DPR","NULL","Capital","NULL","09/01/2022","False","X","MULTIPOLYGON (((-73.91248311643253 40.82508999562391, -73.91269769298164 40.82469624261472, -73.91270305763909 40.824684064766146, -73.9127003752759 40.82467391594654, -73.91270037613344 40.82465970882172, -73.91269769346259 40.8246434708478, -73.91269232844854 40.82462520382638, -73.91268428258736 40.824610996912284, -73.91267891759553 40.82460084786172, -73.91249652752643 40.82453995854087, -73.91247775177071 40.82453792808128, -73.91242947267202 40.824546047220544, -73.91241337981424 40.824558225013085, -73.91242410854377 40.82457040336529, -73.9124080153782 40.824584610874844, -73.91218539180336 40.82499460217286, -73.91219343817487 40.82501286855706, -73.91219343808588 40.825029106300086, -73.91219612095783 40.82504331366656, -73.91222294204788 40.82506361055297, -73.91240533213518 40.82511638142897, -73.91242947216381 40.8251265294422, -73.91244288397216 40.82512044056731, -73.91246702344189 40.8251102922943, -73.91248311643253 40.82508999562391)))","Active"
"X116-SYNTURF-0098","X116","X-02","Rev J Polite Playground","Intervale Avenue and Kelly Street","Field Group","Infill","Uncoated Sand","true","DPR","NULL","DPR","NULL","Capital","NULL","08/01/2022","False","X","MULTIPOLYGON (((-73.89683013178029 40.82740201715975, -73.89686137427131 40.82741178576909, -73.89687818053861 40.827413527949766, -73.89689513481504 40.827413089259586, -73.89692752880316 40.82740577737628, -73.89695482894656 40.82739069235531, -73.8969894889344 40.82734932572914, -73.89721540905506 40.827079685643994, -73.89723743551738 40.827053397288935, -73.89724307833986 40.82702963102853, -73.89724223754278 40.82701753932188, -73.89723333486398 40.82699435172554, -73.89722547959964 40.8269838017199, -73.89721558609556 40.826974284566745, -73.89693381535159 40.82683258049011, -73.8969019220716 40.82682601798313, -73.89686894086789 40.82682765350921, -73.89685316689327 40.82683152414037, -73.89683845094687 40.82683730926957, -73.89682519515125 40.82684484896871, -73.89653318985837 40.827189911287114, -73.8965264361969 40.82721200969792, -73.89652683460788 40.827223386919385, -73.89652976079377 40.82723455119039, -73.89655251587875 40.82726365942037, -73.89656403804699 40.827270975478115, -73.89683013178029 40.82740201715975)))","Active"
"X010-SYNTURF-0097","X010","X-03","Crotona Park","Crotona Park North and Prospect Avenue","Field Group","Non-Infill","Not Applicable","false","DPR","NULL","DPR","NULL","Capital","NULL","01/03/2022","False","X","MULTIPOLYGON (((-73.89299112171959 40.8402125631079, -73.89297826767938 40.84020429545402, -73.89298576082504 40.84020758560703, -73.89296712201005 40.840190282432154, -73.89295330026087 40.840178439817265, -73.8929367955438 40.84016862712502, -73.89292818308985 40.840164602927736, -73.89289811138377 40.8401504318515, -73.89286529011254 40.840130318555815, -73.89283929088832 40.8401149607938, -73.89283476406145 40.840118509036344, -73.89283828470944 40.84010582434849, -73.89280777276446 40.84009262897485, -73.89277457010678 40.84007376608467, -73.89276174947665 40.840066136887664, -73.89275429266864 40.840064594612436, -73.892746724951 40.84005609411724, -73.89274183893541 40.840061797804566, -73.8927315885777 40.840049238088724, -73.89273743203867 40.84005494184841, -73.89271830950462 40.84003620369612, -73.89271494680256 40.840029607152026, -73.89271461408372 40.84003078919102, -73.89258114764664 40.839954149102006, -73.89184050471358 40.84071009512605, -73.8919039139653 40.84074190417929, -73.89194854751709 40.84076559746945, -73.8919717341116 40.84078250614807, -73.89199620944923 40.84079658487618, -73.89202482199522 40.84080907089661, -73.89204669474088 40.84082458166419, -73.89208643430094 40.84084207852481, -73.89210678872074 40.840857975072694, -73.8921367125759 40.84087128354213, -73.89216707399821 40.84088750370918, -73.89217721563277 40.84090058475763, -73.89220109870779 40.840911420210226, -73.89221157044383 40.84091616749426, -73.8922125682673 40.84092382892724, -73.89222988151255 40.84093157944599, -73.8922471325456 40.840940406894546, -73.89225097287228 40.84093908765673, -73.8922701286179 40.84095204024205, -73.89228123787217 40.840954845750126, -73.89229850949324 40.84096487987181, -73.89231821605267 40.840979646557855, -73.89234512091095 40.840997497846836, -73.89308382457169 40.84027061476628, -73.89308118396127 40.8402639927882, -73.89305990843518 40.840253846110514, -73.89303646591534 40.84024118774293, -73.89301579599078 40.84022902271139, -73.89300564657262 40.84021631903495, -73.89298576082504 40.84020758560703, -73.89299112171959 40.8402125631079)))","Active"
"M015-SYNTURF-0096","M015","M-01","Columbus Park","Baxter Street and Hogan Place","Field Group","Infill","Uncoated Sand","false","DPR","NULL","DPR","NULL","Capital","NULL","07/01/2022","False","M","MULTIPOLYGON (((-73.99977043371386 40.71540145389471, -73.99977644339816 40.71542499414557, -73.9997872107239 40.71544753844057, -73.99982186205081 40.7154874851348, -73.99984490222967 40.7155039140774, -73.99988747003361 40.715525959518544, -73.99993348183425 40.7155435852416, -73.99998214586833 40.715556488670906, -74.00003262066342 40.715564445576284, -74.00008403634126 40.71556731907843, -74.00013550527034 40.71556506054967, -74.00018613981909 40.71555770781271, -74.00023506537543 40.715545388742854, -74.00028143928377 40.71552831496436, -74.00032446031331 40.71550678184985, -74.00036338641148 40.71548116041554, -74.0003975465391 40.71545189281848, -74.00039268467847 40.71543845812246, -74.00037157192646 40.715143921088846, -73.99984129928771 40.71517159606175, -73.99984835133127 40.71532555451487, -73.9998397982124 40.7153442184794, -73.99982735141162 40.715361578498566, -73.99981134230507 40.715377171709456, -73.99977043371386 40.71540145389471)))","Active"
"B529-SYNTURF-0095","B529","B-01","Bushwick Inlet Park","Kent Avenue and North 9th Street","Field Group","Infill","Uncoated Sand","false","DPR","NULL","DPR","NULL","Capital","NULL","07/01/2022","False","B","MULTIPOLYGON (((-73.96161052276896 40.72286967379714, -73.96205761031142 40.72245800370417, -73.96113890529483 40.72188816191957, -73.96069872804817 40.722298077544366, -73.96161052276896 40.72286967379714)))","Active"
"Q008-SYNTURF-0094","Q008","Q-13","Brookville Park","Edgewood Avenue & 232rd Street","Field Group","Infill","Coated Sand","false","DPR","NULL","DPR","NULL","Capital","NULL","06/01/2022","False","Q","MULTIPOLYGON (((-73.74547665398033 40.66153178197889, -73.74573621384219 40.661503358357365, -73.74573803701738 40.66152701544889, -73.74584604516936 40.66151653164588, -73.74584335045085 40.66149162631065, -73.74610466088585 40.66146301031332, -73.74607783091622 40.661323667642954, -73.74633584787696 40.66106662691779, -73.74638149511522 40.661063112882744, -73.74652161686718 40.660925848375854, -73.74651758575193 40.66087197848125, -73.74629366878918 40.660750879063556, -73.74626708962329 40.66077562886829, -73.74593762279206 40.66059547029922, -73.74591019054121 40.66045299513508, -73.74564729210947 40.6604822825642, -73.74564076923264 40.660452534763394, -73.74553174723387 40.66046512334572, -73.74553746256538 40.66049451816349, -73.74528218840149 40.66052295532423, -73.74547665398033 40.66153178197889)))","Active"
"M039-SYNTURF-0092","M039","M-11","Harlem River Play Area 2","Harlem River Dr and 138th St","Play Area","Infill","Rubber Crumb","false","DPR","NULL","DPR","NULL","Capital","M208-206M","06/27/2007","False","M","MULTIPOLYGON (((-73.9340571718317 40.814261093558976, -73.9340544890189 40.81404997491866, -73.93402498507889 40.81405200487021, -73.93401157377734 40.814259063864014, -73.9340571718317 40.814261093558976)))","Active"
"X106-SYNTURF-0091","X106","X-01","Evelina Antonetty Playground","Grand Concourse & E 146th Street","Play Area","Non-Infill","Not Applicable","false","DPR","NULL",,"NULL","Capital","NULL","01/01/2020","False","X","MULTIPOLYGON (((-73.92841460800987 40.817400058177434, -73.92816248142738 40.81734119166984, -73.92815979872647 40.817337132359135, -73.9280471459424 40.817538090851464, -73.9282268533895 40.81762537545882, -73.92841460800987 40.817400058177434)))","Active"
"B126-SYNTURF-0076","B126","B-06","Red Hook Recreation Area Ballfields 5-8","Bay Street and Hicks Street","Field Group","Infill","Uncoated Sand","false","DPR","NULL",,"NULL","Capital","NULL","12/01/2021","False","B","MULTIPOLYGON (((-74.0059462703833 40.67402673600996, -74.0064934407752 40.67287533128825, -74.00513087866483 40.67249288110233, -74.00457834360324 40.673652429270376, -74.0059462703833 40.67402673600996)))","Active"
"M144-SYNTURF-0082","M144","M-03","East River Park - Track Field","FDR Drive and East 6th Street","Field Group","Infill","Non-Infill","false","DPR","NULL",,"NULL","Capital","NULL","09/03/2018","False","M","MULTIPOLYGON (((-73.97367158855937 40.72217352796719, -73.97387871872758 40.721292981264725, -73.97387873489777 40.72125776413871, -73.97387376095814 40.72122274849495, -73.97386385475346 40.72118834047579, -73.97384913094325 40.72115493813122, -73.97382468983707 40.72112159120845, -73.97379485173016 40.721090870739125, -73.97376010051828 40.7210632766123, -73.97372100059904 40.72103925560511, -73.97367818622072 40.72101919867936, -73.97363235556796 40.721003431975355, -73.97358424945958 40.72099221140417, -73.97353465253485 40.720985718145805, -73.9734843683984 40.72098405864357, -73.97343421370529 40.720987260100294, -73.97338500395887 40.72099526957458, -73.97333753693985 40.72100795847952, -73.97329258560687 40.72102511897882, -73.97325087915615 40.72104647298732, -73.97321309473631 40.72107167396985, -73.97316173642164 40.72112442016711, -73.9731262175827 40.72118419221335, -73.9731149275261 40.72121588031204, -73.97291331662824 40.722063200851, -73.97290646699092 40.72210419403433, -73.97290674727913 40.72214551397896, -73.97291415306002 40.72218645108228, -73.97292855798555 40.722226302915885, -73.97294971378643 40.72226438593205, -73.97297757068641 40.72229796436761, -73.97301113982425 40.722328393252695, -73.97304981068187 40.722355119526696, -73.97309287802217 40.722377654943536, -73.97313955726985 40.722395590484, -73.9731889987148 40.72240859816037, -73.97324030052795 40.72241644182612, -73.97329252888333 40.72241897808107, -73.97334473097715 40.722416160777506, -73.97339595870098 40.72240804102534, -73.97344527574495 40.72239476719404, -73.97349178600643 40.72237658131674, -73.9735346406954 40.72235381368868, -73.97356841057936 40.72232943204744, -73.97359826851326 40.72230227683053, -73.97362382139742 40.72227270545318, -73.97364473175097 40.72224110866216, -73.97366072481573 40.72220790423343, -73.97367158855937 40.72217352796719)))","Active"
"M159-SYNTURF-0081","M159","M-10","Frederick Johnson Playground","W 150th Street & Harlem River Drive","Field Group","Infill","Uncoated Sand","false","DPR","NULL",,"NULL","Capital","NULL","07/01/2021","False","M","MULTIPOLYGON (((-73.93500213864412 40.82467477536743, -73.93507992270061 40.824573292784414, -73.93482243127822 40.8244657201828, -73.93475001103381 40.82456720382837, -73.93500213864412 40.82467477536743)))","Active"
"Q363-SYNTURF-0051","Q363","Q-03","Northern Playground","93rd Street and Northern Blvd","Field Group","Non-Infill","Not Applicable","true","DPR","NULL",,"NULL","Capital","NULL","09/01/2021","False","Q","MULTIPOLYGON (((-73.8748702644991 40.75610217046783, -73.87486367505757 40.75606586030719, -73.87489191853982 40.75604254176196, -73.87482061007242 40.75563980568161, -73.87484571566313 40.75562886929821, -73.87483545590742 40.755573929976734, -73.87478867826916 40.75554828675566, -73.87470106033324 40.755565815291355, -73.87469353078608 40.75557104894744, -73.87422351415745 40.75562357022114, -73.87427546832512 40.75593817373221, -73.87432215834005 40.75597326787631, -73.8743730768279 40.75600480691206, -73.87442775657162 40.75603249946108, -73.87448569120413 40.7560560901232, -73.8745463470492 40.75607536038986, -73.87460916429568 40.75609013404874, -73.87467356292755 40.7561002726879, -73.87473894862867 40.756105684707336, -73.87480471871609 40.75610631902213, -73.8748702644991 40.75610217046783)))","Active"
"B055-SYNTURF-0075","B055","B-01","Sternberg Park","Montrose Avenue and Leonard Street","Field Group","Infill","Non-Infill","false","DPR","NULL",,"NULL","Capital","NULL","10/01/2021","False","B","MULTIPOLYGON (((-73.94798249533677 40.706771851330814, -73.94787063447349 40.706148408138034, -73.94783102232583 40.70612158106314, -73.94651993178387 40.70624697625905, -73.9466172470536 40.70685484147286, -73.9466815515604 40.70689095386996, -73.94798249533677 40.706771851330814)))","Active"
"R067-SYNTURF-0084","R076","R-02","General Douglas MacArthur Park","Jefferson St. and Dongan Hills Ave","Field Group","Infill","Coated Sand",,,"NULL",,"NULL","Capital","NULL","05/01/2021","False","R","MULTIPOLYGON (((-74.10009087356443 40.58755919352431, -74.10010160283427 40.587563267153094, -74.10011233210548 40.58756734078086, -74.10024644239418 40.587518455079994, -74.10079897671197 40.5866262854487, -74.10019279766703 40.58610482867633, -74.0990072616091 40.58699700590558, -74.10009087356443 40.58755919352431)))","Active"
"R008-SYNTURF-0083","R008","R-01","Faber Park","Richmond Terrace and North Street","Play Area","Non-Infill","Non-Infill",,"DPR","NULL",,"NULL","Capital","NULL","11/01/2020","False","R","MULTIPOLYGON (((-74.13541479633867 40.6405399457013, -74.13539333823653 40.64055419287317, -74.13537188074076 40.6405623336173, -74.13535578793883 40.640562333649896, -74.13533164752465 40.640568439668684, -74.13528211720168 40.64056843941449, -74.13527263918786 40.64057047493225, -74.1352806849978 40.640570474472504, -74.13530214304575 40.64057251051613, -74.1353531061534 40.64057250997579, -74.13538797414203 40.64056029840763, -74.13545771189541 40.6405216281176, -74.13545503021084 40.64050331020622, -74.13545771201292 40.64048092193211, -74.13544698275511 40.64046464056944, -74.13542820828766 40.64045039304877, -74.13540675030593 40.64044021633181, -74.13538261002324 40.64042596971881, -74.1353665172542 40.64042596975283, -74.1353075083997 40.64043818090605, -74.13528336798198 40.64045242851217, -74.1352619110603 40.64046667475781, -74.13523240652158 40.64048702878198, -74.13520022015476 40.64051755731996, -74.13518680891862 40.64054401684348, -74.13520021993436 40.64055012190799, -74.1352243590674 40.64056029821218, -74.13525118174681 40.64056640460874, -74.1352806856004 40.64056843929761, -74.13528211720168 40.64056843941449, -74.13541479633867 40.6405399457013)))","Active"
"X004-SYNTURF-0086","X004","X-09","Parque De Los Ninos","Morrison Avenue and Harrod Place","Field Group","Non-Infill","Not Applicable","false","DPR","NULL",,"NULL","Capital","NULL","07/01/2019","False","X","MULTIPOLYGON (((-73.87345544072203 40.82901149570055, -73.87347272106415 40.82903065560073, -73.87349418571883 40.82904761477416, -73.87351902865694 40.82906168705708, -73.87354657959541 40.829072494404606, -73.87357609695603 40.82907974424122, -73.87360678443905 40.82908324208613, -73.87363781473238 40.8290828924798, -73.8736683508394 40.829078705311034, -73.87369756979504 40.829070793141376, -73.87372468400748 40.82905937032791, -73.87374896142921 40.82904474404032, -73.87376974927992 40.829027307983, -73.8737864859168 40.829007534303365, -73.87379871984051 40.828985953801734, -73.87380612274733 40.82896314964152, -73.87373090542634 40.82863027915401, -73.87371637782294 40.82860988772573, -73.87369758197214 40.828591601482856, -73.87367503735021 40.828575927071086, -73.87364936907605 40.828563300112656, -73.87362128897418 40.828554068976985, -73.87359157424444 40.82854849025507, -73.87356104851497 40.82854671793306, -73.87353055695064 40.828548801563926, -73.8735009437346 40.82855468354149, -73.87347303072805 40.82856419997738, -73.87344759019085 40.828577087874955, -73.87342532699063 40.82859298961215, -73.873406858424 40.82861146642638, -73.87339269523672 40.82863200469707, -73.87338323091608 40.828654035744314, -73.87337872625311 40.828676949319444, -73.87345544072203 40.82901149570055)))","Active"
"Q391-SYNTURF-0081","Q391","Q-08","Joseph Austin Playground","84th Avenue and 164th Place","Field Group","Infill","Coated Sand",,,"NULL","Other","Applied Landscape Technology","Capital","NULL","06/01/2018","False","Q","MULTIPOLYGON (((-73.80016776803436 40.716474006561235, -73.80110968306607 40.71627841461963, -73.801111089773 40.71628333654954, -73.80090584802049 40.71546675722514, -73.80084846991525 40.715433857711055, -73.79967862437529 40.71557828563718, -73.80016776803436 40.716474006561235)))","Active"
"M132-SYNTURF-0077","M132","M-03","Little Flower Playground","Madison St and Clinton St","Field Group","Non-Infill","Not Applicable",,,"NULL","Other","Applied Landscape Technology","Capital","NULL","09/01/2020","False","M","MULTIPOLYGON (((-73.98814834628365 40.71252253891217, -73.98810811314239 40.71220944162023, -73.98788012489374 40.71222773963293, -73.98792572239999 40.71254896827714, -73.988151028056 40.71252863744623, -73.9881483463826 40.712528638070694, -73.98814834628365 40.71252253891217)))","Active"
"X039-SYNTURF-0087","X039","X-15","Orchard Beach",,"Field Group","Infill","Coated Sand",,,"NULL","DPR","NULL","In House","NULL","10/01/2019","False","X","MULTIPOLYGON (((-73.7909741006116 40.87025339340281, -73.79095532420966 40.87023919556656, -73.79098482920573 40.87026353435502, -73.79101165091132 40.87027164773168, -73.79103579035385 40.8702696194176, -73.79146762694862 40.870050566435964, -73.79150249543174 40.870028254941715, -73.79151590613242 40.87001608562256, -73.7915212706274 40.86999783065474, -73.79152395301837 40.869979576244, -73.79152127035397 40.869965378757996, -73.79140325348983 40.869841653226544, -73.79139252435806 40.869839625735985, -73.79137106696746 40.86983151224026, -73.7913361985683 40.86983151222835, -73.79091240911109 40.870056651317334, -73.79087754012716 40.87007490502002, -73.79086412958489 40.87009113187802, -73.7908534004059 40.870105329385005, -73.79085876532679 40.87012358395745, -73.7909741006116 40.87025339340281)))","Active"
"M200-SYNTURF-0079","M200","M-07","Booker T. Washington Playground","Amsterdam Avenue and West 107th Street","Field Group","Infill","Coated Sand","true","DPR","NULL",,"NULL","Capital","M200-118M","06/01/2021","False","M","MULTIPOLYGON (((-73.96378657015461 40.801226886449314, -73.96380912315267 40.80120115546779, -73.96382516350634 40.80120773324532, -73.96389507116413 40.801192409757675, -73.9639294101206 40.801142897561235, -73.96394310209403 40.801148882059195, -73.96401882747438 40.80105137986893, -73.96400002390668 40.80103563507503, -73.96418071208763 40.800780555650896, -73.96359782179158 40.800540269363594, -73.96325269457894 40.80100739013757, -73.96378657015461 40.801226886449314)))","Active"
"M220-SYNTURF-0080","M220","M-07","Frederick Douglass Playground","Amsterdam Avenue and West 102nd Street","Field Group","Infill","Uncoated Sand","false","DPR","NULL","Other","Applied Landscape Technology","Capital","MG-718M","07/01/2019","False","M","MULTIPOLYGON (((-73.96746847232195 40.79771596410196, -73.9677864115055 40.79724926052384, -73.96721650884469 40.797031938954646, -73.96690118283603 40.797463369159196, -73.9669688961796 40.79749319241793, -73.96696312687267 40.79750470095026, -73.96746847232195 40.79771596410196)))","Active"
"X201-SYNTURF-0089","X201","X-08","Seton Park 2","Independence Ave and W 235th Street","Field Group","Infill","Coated Sand","false","DPR","NULL",,"NULL","Capital","NULL","10/01/2019","False","X","MULTIPOLYGON (((-73.91637890765381 40.8864751519199, -73.91637292113788 40.88647172933708, -73.91642656624414 40.8864372579588, -73.91644802344418 40.88630139642719, -73.91648825598513 40.88597492363737, -73.91648021049221 40.885970868329125, -73.91645338820824 40.885966812937944, -73.91640779085364 40.88595667376654, -73.91637023935061 40.88594653500417, -73.91633805315416 40.885938423511284, -73.91631391344865 40.885936396126155, -73.9162495398155 40.88593436836482, -73.91622003564552 40.88593436856451, -73.91616370949015 40.88594045187341, -73.91611274724117 40.88595059034115, -73.9160698318154 40.88596275713014, -73.91603228147339 40.885978979994505, -73.91599204818583 40.88599722968954, -73.91596790851564 40.88600736870219, -73.91595181506695 40.886013451475534, -73.91594108571623 40.88602156334693, -73.91592231112789 40.88603575754484, -73.91590085241172 40.88605197948004, -73.9158793948704 40.88606820231254, -73.91586061986871 40.88608645229012, -73.91583916252324 40.886112813690055, -73.9158257510027 40.88612700818048, -73.91580965733411 40.886147285298584, -73.91579356446418 40.886183785575255, -73.91578015332215 40.886206091640574, -73.91576942452795 40.88623245275032, -73.91576406083237 40.88626286906212, -73.91576137791007 40.88630139710901, -73.91576137792677 40.88632573004783, -73.91576137833538 40.88634600809739, -73.91576674207613 40.88636425766361, -73.91577478958519 40.886408869120906, -73.91637890765381 40.8864751519199)))","Active"
"X201-SYNTURF-0088","X201","X-08","Seton Park","Independence Ave and West 232nd Street","Field Group","Infill","Coated Sand","false","DPR","NULL","DPR","NULL","Capital","NULL","10/01/2019","False","X","MULTIPOLYGON (((-73.91545523159701 40.88563850270967, -73.91546209470347 40.8856728162661, -73.91547360359411 40.88570857040043, -73.91549185878233 40.88574268248344, -73.91554692921373 40.88580313191571, -73.91558257618108 40.885828187910164, -73.91562265896482 40.88584906437742, -73.91566632738692 40.885865316751904, -73.91571265519907 40.88587660216849, -73.91576065906807 40.885882679476445, -73.91580932347884 40.88588342096444, -73.91585761260205 40.885878811468764, -73.9159045047068 40.885868946597434, -73.91594900402023 40.88585403814189, -73.9159901668503 40.885834399687624, -73.91602712056665 40.885810450229954, -73.9160590802337 40.885782697076365, -73.91608536879238 40.885751727756194, -73.91610542775098 40.88571820012286, -73.91611883263101 40.885682825255216, -73.91612253850742 40.88565244013662, -73.91612643979528 40.885620460398414, -73.91599151361028 40.885511356599345, -73.91596551476493 40.885528126341065, -73.9158825330258 40.885456028787175, -73.91582833819427 40.88539373055073, -73.91575377659171 40.88539629656765, -73.91570287983843 40.88542711367211, -73.91570550406043 40.88545546650163, -73.91545523159701 40.88563850270967)))","Active"
"M105-SYNTURF-0076","M105","M-03","Sara D. Roosevelt - Canal Street","Chrystie Street and Hester Street","Field Group","Infill","Coated Sand","false","DPR","NULL","DPR","NULL",,"NULL","11/01/2017","False","M","MULTIPOLYGON (((-73.9942166385337 40.71655983144731, -73.99428002493623 40.7165468294467, -73.99431372605028 40.71652532333198, -73.99432638722814 40.71651158307242, -73.9945116011968 40.716159554712284, -73.9945325583968 40.716119721641306, -73.99453722335497 40.71609585023812, -73.99453663022696 40.71608376896521, -73.9945296376602 40.71606023019715, -73.99451530367313 40.716038701918364, -73.9945056352569 40.71602910381964, -73.99449376904137 40.716019994592045, -73.99448043400051 40.71601213880301, -73.99446585853858 40.71600567063896, -73.99445031011635 40.71600070988029, -73.99443403726147 40.715997334882985, -73.99441732282486 40.71599560329306, -73.99440045676027 40.715995547542796, -73.99438372547355 40.71599716764617, -73.99435180458495 40.71600529679115, -73.99430865310873 40.71603124556897, -73.9942963790388 40.71604480754569, -73.99409394428706 40.716436063606686, -73.99409084791147 40.71647968776147, -73.99409404837802 40.71649014104749, -73.99409875074869 40.716500263923145, -73.99411893210339 40.71652542430873, -73.99412916874311 40.71653363478214, -73.99413164922886 40.71653535938557, -73.99414441272123 40.716542947733885, -73.9941583480054 40.71654924300768, -73.9941732266722 40.716554142536836, -73.99419460523613 40.71655842374155, -73.9942166385337 40.71655983144731)))","Active"
